source;kode_mk;clo_id;skill_text;skill_type;original_clo
TELU;BBK2HAB3;CLO2;integrasi aplikasi enterprise;HSkill;BBK2HAB3: Mampu mengimplementasikan teknologi integrasi yang paling sesuai dengan kebutuhan sistem informasi enterprise serta menggunakan kakas atau t
TELU;BBK1GAB3;CLO1;komunikasi jaringan komputer,;HSkill;BBK1GAB3: Mampu memahami dasar-dasar komunikasi jaringan komputer, keberadaan, ketersediaan, keterpercayaan, dan keamanan jaringan komputer.
TELU;BBK1GAB3;CLO1;keamanan jaringan komputer.;HSkill;BBK1GAB3: Mampu memahami dasar-dasar komunikasi jaringan komputer, keberadaan, ketersediaan, keterpercayaan, dan keamanan jaringan komputer.
TELU;BBK1GAB3;CLO2;pengalamatan;HSkill;BBK1GAB3: Mampu menerapkan pengalamatan dan konfigurasi perangkat jaringan komputer
TELU;BBK1GAB3;CLO2;konfigurasi perangkat jaringan komputer;HSkill;BBK1GAB3: Mampu menerapkan pengalamatan dan konfigurasi perangkat jaringan komputer
TELU;BBK1GAB3;CLO3;jaringan komputer;HSkill;BBK1GAB3: Mampu merancang jaringan komputer dalam sebuah institusi
TELU;BBK1HAB2;CLO3;media;HSkill;BBK1HAB2: Mahasiswa mampu menyusun dan mengkomunikasikan ide dan pemikiran dalam berbagai bentuk media informasi.
TELU;BBK3CAB3;CLO1;teknologi;HSkill;BBK3CAB3: Mahasiswa mampu memahami konsep utama, teknologi utama, kekuatan, dan keterbatasan komputasi awan.
TELU;BBK3CAB3;CLO1;komputasi awan.;HSkill;BBK3CAB3: Mahasiswa mampu memahami konsep utama, teknologi utama, kekuatan, dan keterbatasan komputasi awan.
TELU;BBK3CAB3;CLO2;arsitektur;HSkill;BBK3CAB3: Mahasiswa mampu mengidentifikasi arsitektur dan infrastruktur komputasi awan, termasuk pengiriman awan dan model penerapannya.
TELU;BBK3CAB3;CLO2;infrastruktur komputasi awan,;HSkill;BBK3CAB3: Mahasiswa mampu mengidentifikasi arsitektur dan infrastruktur komputasi awan, termasuk pengiriman awan dan model penerapannya.
TELU;BBK3CAB3;CLO4;komputasi awan;HSkill;BBK3CAB3: Mahasiswa mampu mengidentifikasi solusi dan rekomendasi dari permasalahan komputasi awan yang tepat berdasarkan hasil analisis dan evaluasi 
TELU;BBK3CAB3;CLO3;komputasi awan;HSkill;BBK3CAB3: Mahasiswa mampu menganalisis masalah inti dari komputasi awan mulai dari infrastruktur, layanan, hingga keamanannya.
TELU;BBK3CAB3;CLO3;infrastruktur,;HSkill;BBK3CAB3: Mahasiswa mampu menganalisis masalah inti dari komputasi awan mulai dari infrastruktur, layanan, hingga keamanannya.
TELU;BBK3CAB3;CLO3;layanan,;HSkill;BBK3CAB3: Mahasiswa mampu menganalisis masalah inti dari komputasi awan mulai dari infrastruktur, layanan, hingga keamanannya.
TELU;BBK3DAB3;CLO1;tata kelola;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;manajemen data;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;tata kelola;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;manajemen data,;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;komputasi,;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;statistika,;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;teknologi informasi;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO1;komunikasi,;HSkill;BBK3DAB3: Mahasiswa mampu menjelaskan konsep dasar tata kelola dan manajemen data meliputi prinsip, proses, dan kerangka kerja berbasis siklus pengelo
TELU;BBK3DAB3;CLO3;asesmen;HSkill;BBK3DAB3: Mahasiswa mampu melakukan asesmen dan analisis kesenjangan implementasi tata kelola dan manajemen data.
TELU;BBK3DAB3;CLO3;analisis;HSkill;BBK3DAB3: Mahasiswa mampu melakukan asesmen dan analisis kesenjangan implementasi tata kelola dan manajemen data.
TELU;BBK3DAB3;CLO3;implementasi;HSkill;BBK3DAB3: Mahasiswa mampu melakukan asesmen dan analisis kesenjangan implementasi tata kelola dan manajemen data.
TELU;BBK3DAB3;CLO3;tata kelola;HSkill;BBK3DAB3: Mahasiswa mampu melakukan asesmen dan analisis kesenjangan implementasi tata kelola dan manajemen data.
TELU;BBK3DAB3;CLO3;manajemen data.;HSkill;BBK3DAB3: Mahasiswa mampu melakukan asesmen dan analisis kesenjangan implementasi tata kelola dan manajemen data.
TELU;BBK3DAB3;CLO5;teknologi tata kelola;HSkill;BBK3DAB3: Mahasiswa mampu merancang solusi kontrol personil, proses, dan teknologi tata kelola dan manajemen data untuk diterapkan pada suatu obyek or
TELU;BBK3DAB3;CLO5;manajemen data;HSkill;BBK3DAB3: Mahasiswa mampu merancang solusi kontrol personil, proses, dan teknologi tata kelola dan manajemen data untuk diterapkan pada suatu obyek or
TELU;BBK1BAB3;CLO1;permutasi,;HSkill;BBK1BAB3: Mampu membedakan proposisi atomik dan proposisi majemuk, menggunakan tabel kebenaran, prinsip implikasi dan biimplikasi untuk menyimpulkan k
TELU;BBK1BAB3;CLO1;combinasi,;HSkill;BBK1BAB3: Mampu membedakan proposisi atomik dan proposisi majemuk, menggunakan tabel kebenaran, prinsip implikasi dan biimplikasi untuk menyimpulkan k
TELU;BBK1BAB3;CLO2;T;Tech;BBK1BAB3: Mampu menerapkan prinsip graf dan prinsip graf T serta prinsip pohon (tree) untuk menyelesaikan masalah tertentu dalam pemodelan jaringan.
TELU;BBK3VBB3;CLO1;analisis;HSkill;BBK3VBB3: Mahasiswa mampu memahami domain smart city serta memberikan keilmuan sistem informasi untuk melakukan analisis implementasi di lingkungan pe
TELU;BBK3VBB3;CLO3;smart city.;HSkill;BBK3VBB3: Mahasiswa mampu menerapkan dan merekayasa solusi untuk mencapai keberhasilan dalam smart city.
TELU;BBK3VBB3;CLO4;smart city.;HSkill;BBK3VBB3: Mahasiswa mampu memberikan solusi inovatif, ide, dan gagasan untuk menciptakan smart city.
TELU;BBK1DAB3;CLO2;sistem;HSkill;BBK1DAB3: Mampu menjelaskan sistem dan teknologi informasi yang berkembang serta mampu memahami dan merespons secara real-time kebutuhan bisnis melalu
TELU;BBK1DAB3;CLO2;teknologi informasi;HSkill;BBK1DAB3: Mampu menjelaskan sistem dan teknologi informasi yang berkembang serta mampu memahami dan merespons secara real-time kebutuhan bisnis melalu
TELU;BBK1DAB3;CLO2;analisis data,;HSkill;BBK1DAB3: Mampu menjelaskan sistem dan teknologi informasi yang berkembang serta mampu memahami dan merespons secara real-time kebutuhan bisnis melalu
TELU;BBK1DAB3;CLO1;sistem informasi.;HSkill;BBK1DAB3: Mampu menjelaskan profesi dalam bidang sistem informasi.
TELU;BBK1DAB3;CLO3;sistem informasi.;HSkill;BBK1DAB3: Mampu menganalisis profesi dalam bidang sistem informasi.
